Country:text,Period:text,Year:year,values:number
France,2000-2017,2012,82
France,2000-2017,2013,76
France,2000-2017,2014,58
France,2000-2017,2015,60
France,2000-2017,2016,65
France,2000-2017,2017,91
Germany,2000-2017,2000,164
Germany,2000-2017,2001,151
Germany,2000-2017,2002,136
Germany,2000-2017,2003,149
Germany,2000-2017,2004,165
Germany,2000-2017,2005,124
Germany,2000-2017,2006,143
Germany,2000-2017,2007,118
Germany,2000-2017,2008,94
Germany,2000-2017,2009,100
Germany,2000-2017,2010,106
Germany,2000-2017,2011,93
Germany,2000-2017,2012,99
Germany,2000-2017,2013,92
Germany,2000-2017,2014,77
Germany,2000-2017,2015,84
Germany,2000-2017,2016,84
Germany,2000-2017,2017,84
Iceland,2000-2017,2000,8
Iceland,2000-2017,2001,7
Iceland,2000-2017,2002,28
Iceland,2000-2017,2003,48
Iceland,2000-2017,2004,9
Iceland,2000-2017,2005,9
Iceland,2000-2017,2006,6
Iceland,2000-2017,2007,6
Iceland,2000-2017,2008,7
Iceland,2000-2017,2009,7
Iceland,2000-2017,2010,19
Iceland,2000-2017,2011,16
Iceland,2000-2017,2012,14
Iceland,2000-2017,2013,5
Iceland,2000-2017,2014,7
Iceland,2000-2017,2015,12
Iceland,2000-2017,2016,8
Iceland,2000-2017,2017,15
Ireland,2000-2017,2000,60
Ireland,2000-2017,2001,36
Ireland,2000-2017,2002,35
Ireland,2000-2017,2003,33
Ireland,2000-2017,2004,34
Ireland,2000-2017,2005,32
Ireland,2000-2017,2006,36
Ireland,2000-2017,2007,35
Ireland,2000-2017,2008,33
Ireland,2000-2017,2009,43
Ireland,2000-2017,2010,44
Ireland,2000-2017,2011,33
Ireland,2000-2017,2012,33
Ireland,2000-2017,2013,26
Ireland,2000-2017,2014,27
Ireland,2000-2017,2015,23
Ireland,2000-2017,2016,28
Ireland,2000-2017,2017,24
Latvia,2000-2017,2000,91
Latvia,2000-2017,2001,78
Latvia,2000-2017,2002,83
Latvia,2000-2017,2003,109
Latvia,2000-2017,2004,84
Latvia,2000-2017,2005,76
Latvia,2000-2017,2006,106
Latvia,2000-2017,2007,62
Latvia,2000-2017,2008,58
Latvia,2000-2017,2009,94
Latvia,2000-2017,2010,62
Latvia,2000-2017,2011,56
Latvia,2000-2017,2012,65
Latvia,2000-2017,2013,75
Latvia,2000-2017,2014,64
Latvia,2000-2017,2015,66
Latvia,2000-2017,2016,66
Latvia,2000-2017,2017,66
Lithuania,2000-2017,2000,321
Lithuania,2000-2017,2001,104
Lithuania,2000-2017,2002,333
Lithuania,2000-2017,2003,325
Lithuania,2000-2017,2004,170
Lithuania,2000-2017,2005,141
Lithuania,2000-2017,2006,144
Lithuania,2000-2017,2007,83
Lithuania,2000-2017,2008,145
Lithuania,2000-2017,2009,233
Lithuania,2000-2017,2010,130
Lithuania,2000-2017,2011,108
Lithuania,2000-2017,2012,77
Lithuania,2000-2017,2013,88
Lithuania,2000-2017,2014,74
Lithuania,2000-2017,2015,64
Lithuania,2000-2017,2016,136
Lithuania,2000-2017,2017,71
North Macedonia,2000-2017,2000,656
North Macedonia,2000-2017,2001,989
North Macedonia,2000-2017,2002,536
North Macedonia,2000-2017,2003,392
North Macedonia,2000-2017,2004,293
North Macedonia,2000-2017,2005,249
North Macedonia,2000-2017,2006,329
North Macedonia,2000-2017,2007,379
North Macedonia,2000-2017,2008,429
North Macedonia,2000-2017,2009,276
North Macedonia,2000-2017,2010,186
North Macedonia,2000-2017,2011,228
North Macedonia,2000-2017,2012,266
North Macedonia,2000-2017,2013,253
North Macedonia,2000-2017,2014,244
North Macedonia,2000-2017,2015,188
North Macedonia,2000-2017,2016,171
North Macedonia,2000-2017,2017,171
Norway,2000-2017,2000,10
Norway,2000-2017,2001,13
Norway,2000-2017,2002,8
Norway,2000-2017,2003,11
Norway,2000-2017,2004,9
Norway,2000-2017,2005,7
Norway,2000-2017,2006,11
Norway,2000-2017,2007,6
Norway,2000-2017,2008,7
Norway,2000-2017,2009,6
Norway,2000-2017,2010,11
Norway,2000-2017,2011,9
Norway,2000-2017,2012,8
Norway,2000-2017,2013,10
Norway,2000-2017,2014,9
Norway,2000-2017,2015,6
Norway,2000-2017,2016,6
Norway,2000-2017,2017,6
Poland,2000-2017,2000,296
Poland,2000-2017,2001,278
Poland,2000-2017,2002,250
Poland,2000-2017,2003,322
Poland,2000-2017,2004,432
Poland,2000-2017,2005,469
Poland,2000-2017,2006,390
Poland,2000-2017,2007,164
Poland,2000-2017,2008,234
Poland,2000-2017,2009,304
Poland,2000-2017,2010,375
Poland,2000-2017,2011,445
Poland,2000-2017,2012,130
Poland,2000-2017,2013,85
Poland,2000-2017,2014,83
Poland,2000-2017,2015,75
Poland,2000-2017,2016,75
Poland,2000-2017,2017,75
Romania,2000-2017,2000,949
Romania,2000-2017,2001,949
Romania,2000-2017,2002,751
Romania,2000-2017,2003,779
Romania,2000-2017,2004,622
Romania,2000-2017,2005,442
Romania,2000-2017,2006,331
Romania,2000-2017,2007,390
Romania,2000-2017,2008,412
Romania,2000-2017,2009,386
Romania,2000-2017,2010,327
Romania,2000-2017,2011,402
Romania,2000-2017,2012,465
Romania,2000-2017,2013,354
Romania,2000-2017,2014,290
Romania,2000-2017,2015,225
Romania,2000-2017,2016,225
Romania,2000-2017,2017,225
Serbia,2000-2017,2000,292
Serbia,2000-2017,2001,292
Serbia,2000-2017,2002,292
Serbia,2000-2017,2003,292
Serbia,2000-2017,2004,260
Serbia,2000-2017,2005,224
Serbia,2000-2017,2006,217
Serbia,2000-2017,2007,142
Serbia,2000-2017,2008,164
Serbia,2000-2017,2009,147
Serbia,2000-2017,2010,165
Serbia,2000-2017,2011,119
Serbia,2000-2017,2012,121
Serbia,2000-2017,2013,105
Serbia,2000-2017,2014,79
Serbia,2000-2017,2015,99
Serbia,2000-2017,2016,96
Serbia,2000-2017,2017,93
Slovenia,2000-2017,2000,151
Slovenia,2000-2017,2001,191
Slovenia,2000-2017,2002,152
Slovenia,2000-2017,2003,107
Slovenia,2000-2017,2004,103
Slovenia,2000-2017,2005,87
Slovenia,2000-2017,2006,71
Slovenia,2000-2017,2007,44
Slovenia,2000-2017,2008,39
Slovenia,2000-2017,2009,35
Slovenia,2000-2017,2010,50
Slovenia,2000-2017,2011,43
Slovenia,2000-2017,2012,42
Slovenia,2000-2017,2013,33
Slovenia,2000-2017,2014,28
Slovenia,2000-2017,2015,27
Slovenia,2000-2017,2016,27
Slovenia,2000-2017,2017,27
Spain,2000-2017,2000,330
Spain,2000-2017,2001,264
Spain,2000-2017,2002,203
Spain,2000-2017,2003,214
Spain,2000-2017,2004,202
Spain,2000-2017,2005,234
Spain,2000-2017,2006,254
Spain,2000-2017,2007,218
Spain,2000-2017,2008,182
Spain,2000-2017,2009,129
Spain,2000-2017,2010,107
Spain,2000-2017,2011,100
Spain,2000-2017,2012,160
Spain,2000-2017,2013,128
Spain,2000-2017,2014,151
Spain,2000-2017,2015,168
Spain,2000-2017,2016,168
Spain,2000-2017,2017,168
Sweden,2000-2017,2000,42
Sweden,2000-2017,2001,52
Sweden,2000-2017,2002,52
Sweden,2000-2017,2003,67
Sweden,2000-2017,2004,57
Sweden,2000-2017,2005,60
Sweden,2000-2017,2006,63
Sweden,2000-2017,2007,44
Sweden,2000-2017,2008,35
Sweden,2000-2017,2009,41
Sweden,2000-2017,2010,50
Sweden,2000-2017,2011,47
Sweden,2000-2017,2012,39
Sweden,2000-2017,2013,38
Sweden,2000-2017,2014,37
Sweden,2000-2017,2015,35
Sweden,2000-2017,2016,35
Sweden,2000-2017,2017,35
United Kingdom,2000-2017,2000,60
United Kingdom,2000-2017,2001,81
United Kingdom,2000-2017,2002,59
United Kingdom,2000-2017,2003,76
United Kingdom,2000-2017,2004,84
United Kingdom,2000-2017,2005,79
United Kingdom,2000-2017,2006,47
United Kingdom,2000-2017,2007,37
United Kingdom,2000-2017,2008,44
United Kingdom,2000-2017,2009,35
United Kingdom,2000-2017,2010,47
United Kingdom,2000-2017,2011,30
United Kingdom,2000-2017,2012,31
United Kingdom,2000-2017,2013,37
United Kingdom,2000-2017,2014,30
United Kingdom,2000-2017,2015,31
United Kingdom,2000-2017,2016,33
United Kingdom,2000-2017,2017,24
Europe,2000-2017,2000,279
Europe,2000-2017,2001,256
Europe,2000-2017,2002,244
Europe,2000-2017,2003,251
Europe,2000-2017,2004,207
Europe,2000-2017,2005,180
Europe,2000-2017,2006,176
Europe,2000-2017,2007,170
Europe,2000-2017,2008,151
Europe,2000-2017,2009,155
Europe,2000-2017,2010,128
Europe,2000-2017,2011,132
Europe,2000-2017,2012,135
Europe,2000-2017,2013,113
Europe,2000-2017,2014,96
Europe,2000-2017,2015,86
Europe,2000-2017,2016,91
Europe,2000-2017,2017,101
